1,Nguyễn Văn A,26/10/2000,Nam,4000.0,123456789,0867471079,nguyenvanA@gmail.com,Manager,Chief,4000.0
2,Dương Thị B,11/03/1990,Nữ,1000.0,14566789,0123456789,duongthiB@gmail.com,1,Service,1000.0
3,Hồ Văn C,19/12/1999,Nam,500.0,14564789,0867471079,hovanC@gmail.com,0,Employee,500.0
1,Nguyễn Văn A,26/10/2000,Nam,4000.0,123456789,0867471079,nguyenvanA@gmail.com,Manager,Chief,4000.0
2,Dương Thị B,11/03/1990,Nữ,1000.0,14566789,0123456789,duongthiB@gmail.com,1,Service,1000.0
3,Hồ Văn C,19/12/1999,Nam,500.0,14564789,0867471079,hovanC@gmail.com,0,Employee,500.0
1,Nguyễn Văn A,26/10/2000,Nam,4000.0,123456789,0867471079,nguyenvanA@gmail.com,Manager,Chief,4000.0
2,Dương Thị B,11/03/1990,Nữ,1000.0,14566789,0123456789,duongthiB@gmail.com,1,Service,1000.0
3,Hồ Văn C,19/12/1999,Nam,500.0,14564789,0867471079,hovanC@gmail.com,0,Employee,500.0
1,Nguyễn Văn A,26/10/2000,Nam,4000.0,123456789,0867471079,nguyenvanA@gmail.com,Manager,Chief,4000.0
2,Dương Thị B,11/03/1990,Nữ,1000.0,14566789,0123456789,duongthiB@gmail.com,1,Service,1000.0
3,Hồ Văn C,19/12/1999,Nam,500.0,14564789,0867471079,hovanC@gmail.com,0,Employee,500.0
1,Nguyễn Văn A,26/10/2000,Nam,4000.0,123456789,0867471079,nguyenvanA@gmail.com,Manager,Chief,4000.0
2,Dương Thị B,11/03/1990,Nữ,1000.0,14566789,0123456789,duongthiB@gmail.com,1,Service,1000.0
3,Hồ Văn C,19/12/1999,Nam,500.0,14564789,0867471079,hovanC@gmail.com,0,Employee,500.0
1,Nguyễn Văn A,26/10/2000,Nam,4000.0,123456789,0867471079,nguyenvanA@gmail.com,Manager,Chief,4000.0
2,Dương Thị B,11/03/1990,Nữ,1000.0,14566789,0123456789,duongthiB@gmail.com,1,Service,1000.0
3,Hồ Văn C,19/12/1999,Nam,500.0,14564789,0867471079,hovanC@gmail.com,0,Employee,500.0
1,Nguyễn Văn A,26/10/2000,Nam,4000.0,123456789,0867471079,nguyenvanA@gmail.com,Manager,Chief,4000.0
2,Dương Thị B,11/03/1990,Nữ,1000.0,14566789,0123456789,duongthiB@gmail.com,1,Service,1000.0
3,Hồ Văn C,19/12/1999,Nam,500.0,14564789,0867471079,hovanC@gmail.com,0,Employee,500.0
